Company,Address,Phone,Fax,Email,Website,Contact person,Turnover  
Agco Netherlands BV,Horsterweg 66 A  5971 NG Grubbenvorst ,+31 773278400,+31 773270202,info@challenger.nl.agcocorp.com,http://www.challenger-ag.com,Mr. A.M. Kunst,"33,613,000 EUR"
Agfa-Gevaert BV,Polakweg 10 -11  2288 GG Rijswijk ,+31 704131211,+31 704131584,healthcare.nl@agfa.com,http://www.agfa.com,Mr. R. van Zonneveld,"5,799,000 EUR"
Aggreko Nederland BV,Fuutweg 3  4791 PB Klundert ,+31 886441441,+31 886441453,info@aggreko.com,http://www.aggreko.com,Mr. W.G. Schinkelshoek,"24,206,000 EUR"
Agmi Traffic BV,Steenweg 11 B  5932 AC Tegelen ,+31 773739100,+31 773739190,info@agmi.nl,http://www.agmi.nl,Mr. J.M.A.W. Driessen,"15,000,000 EUR"
Agrifirm Feed BV,Landgoedlaan 20  7325 AW Apeldoorn ,+31 884881100,+31 884881820,feed@agrifirm.com,http://www.agrifirm.com/agrifirm-feed,Mr. W. Maaskant,"1,191,824,000 EUR"
Agrifirm Plant BV,Landgoedlaan 20  7325 AW Apeldoorn ,+31 884881000,+31 475336364,info@agerland.nl,http://www.agrifirm.com,Mr. V.M.A. Roelofs,"1,007,021,000 EUR"
Agrivor BV,Marktweg 11  1681 NM Zwaagdijk Oost ,+31 228566600,+31 228566610,info@agrivor.nl,http://www.agrivor.nl,Mr. F. Baesjou,"174,972,000 EUR"
Agro Fair Benelux BV,Koopliedenweg 10  2991 LN Barendrecht ,+31 180643900,+31 180649424,info@agrofair.com,http://www.agrofair.com,Mr. H.W. van de Waal,"49,750,882 EUR"
Agu BV,Koraalstraat 1  1812 RK Alkmaar ,+31 725411511,+31 725411500,info@agu.nl,http://www.agu.nl,Mr. P.H. Ebbeling,"40,162,821 EUR"
Air Liquide BV,De Witbogt 1  5652 AG Eindhoven ,+31 402503506,+31 402503533,martine.donker@airliquide.com,http://www.airliquide.com,Mr. J. Nysing,"51,456,000 EUR"
Air Liquide Welding Nederland B.V.,Rudonk 6  4824 AJ Breda ,+31 765410080,+31 765415896,,http://www.alwn.nl,Mr. F.L.G. Teughels,"10,000,000 EUR"
Ajax Chubb Varel,Cruquiusweg 118  1019 AK Amsterdam ,+31 206516171,+31 206978084,info@ajaxchubbvarel.nl,http://www.chubbvarel.nl,Mr. K.J. Bus,"44,352,000 EUR"
Akibia B.V.,Wiltonstraat 32  3905 KW Veenendaal ,+31 318583950,+31 318581951,,,Mr. H.A.S. Klok,"10,000,000 EUR"
Akker Exotic Plants BV i.o.,Zijtwende 41  2678 LS De Lier ,+31 153807117,+31 153808676,info@avakker.nl,http://www.avakker.nl,  ,"13,000,000 EUR"
Aks Bouw BV,Mercuriusplein 4 -5  5971 LW Grubbenvorst ,+31 773872028,+31 773874348,info@aksbouw.nl,http://www.aksbouw.nl,Mr. I.J.H. van der Aa,"15,700,000 EUR"
Akzo Nobel Chemicals BV,Stationsstraat 77  3811 MH Amersfoort ,+31 334676767,+31 334676150,info@akzonobel.com,http://www.akzonobel.com,Mr. C.W. van Zuijlen,"12,688,000 EUR"
Akzo Nobel Polymer Chemicals BV,Stationsstraat 77  3811 MH Amersfoort ,+31 334676767,+31 334676100,,http://www.akzonobel.com,Mr. J.A.L. Svärd,"13,893,000,000 EUR"
Akzo Nobel Salt BV,Stationsstraat 77  3811 MH Amersfoort ,+31 334676767,+31 334676100,info@akzonobel.nl,http://www.akzonobel.com,Mr. C.W. van Zuijlen,"15,390,000,000 EUR"
Alara-Lukagro B.V.,Huijgensweg 3  2964 LL Groot-Ammers ,+31 184661700,+31 184662721,info@alara-lukagro.nl,http://www.alara-lukagro.nl,Mr. A. Schilt,"15,048,257 EUR"
Albany International B.V.,Industrielaan 22  6951 KG Dieren ,+31 313491400,+31 313418777,,,Mr. D.A.A. Halftermeyer,"56,991,000 EUR"
Albea Alkmaar BV,Ivoorstraat 9  1812 RE Alkmaar ,+31 725414666,+31 725470055,,http://www.rexam.com,Mr. R.J.A. van den Oord,"32,399,000 EUR"
Albert Nolten Schoenen BV,"Tiber 24  2491 DH Gravenhage,'s- ",+31 703553387,+31 703514586,info@nolten.nl,http://www.nolten.nl,Mr. A.C.M. Nolten,"15,700,518 EUR"
Alcan Holdings Nederland BV,Aluminiumstraat 1  4823 AL Breda ,+31 765425200,+31 765418899,,http://www.alcan-sc.com,Mr. F.T. Schauwaert,"252,194,000 EUR"
Alcan International Network Nederland BV,Tupolevlaan 41 -61  1119 NW Schiphol Rijk ,+31 206549780,+31 206549796,,http://www.pechiney.com,Mr. R.J.A. Groeneveld,"26,690,000 EUR"
Alcapharm BV,Dorpstraat 101  2742 AN Waddinxveen ,+31 182616377,+31 182611048,info@alcapharm.com,http://www.alcapharm.com,Mrs. M.J. van de Heetkamp-Roubos,"18,622,892 EUR"
Aldebaran Commodities BV,Maasstraat 17  3016 DB Rotterdam ,+31 104364937,+31 104364865,info@aldebaran.nl,http://www.aldebaran.nl,Mr. J.P. van Velzen,"27,000,000 EUR"
Alewijnse Retail BV,Dwarsweg 2 A  5301 KT Zaltbommel ,+31 859020650,+31 243716273,retail@alewijnse.nl,http://www.alewijnse.nl,Mr. D.A. Alewijnse,"121,368,322 EUR"
Alexport BV,Nieuwland Parc 121  2952 DB Alblasserdam ,+31 788907000,+31 788907043,info@alexport.nl,http://www.alexport.nl,Mr. A. Visser,"53,057,000 EUR"
Alfa Laval Benelux BV,Baarschot 2  4817 ZZ Breda ,+31 765791200,+31 765791211,benelux.info@alfalaval.com,http://www.alfalaval.com,Mr. M. Peddemors,"80,175,000 EUR"
Alfen BV,Hefbrugweg 28  1332 AP Almere ,+31 365493400,+31 365493409,info@alfen.com,http://www.alfen.com,Mr. M. Roeleveld,"52,575,000 EUR"
Allied Domecq Spirits & Wine (Benelux) BV,Stadionstraat 38  4815 NG Breda ,+31 765025111,+31 765013849,postmaster@allied-domecq.nl,http://www.allieddomecqplc.com,Mr. A.F.C. van Oort,"45,508,000 EUR"
Allround Transport B.V.,Kaasmakerstraat 10  3194 DJ Hoogvliet (RT) ,+31 102956333,+31 104385566,info@allround-transport.nl,http://www.allround-transport.com,Mrs. A.M. Carletti,"7,643,580 EUR"
Almat BV,Stoomdijk 13 -15  7245 PN Laren ,+31 573448080,+31 573448081,info@almatlaren.nl,http://www.almatlaren.nl,Mr. G. Roekevisch,"7,203,855 EUR"
Alpas Hendrion B.V.,Diamantweg 7  1812 RC Alkmaar ,+31 725414500,+31 725414509,alkmaar@alpashendrion.nl,http://www.alpashendrion.nl,  ,"12,747,549 EUR"
Alpha Milkpowders - Alpha Milkpowders Holland BV,Mr. van Coothstraat 9  5141 EP Waalwijk ,+31 416330345,+31 416331145,alphagroup@alphagroup.nl,http://www.alphagroup.nl,Mr. R.J.H. Segeren,"70,000,000 EUR"
Alphacan b.v.,Taylorweg 4  5466 AE Veghel ,+31 413380800,+31 413343843,info@alphacan.nl,http://www.alphacan.nl,Mr. J. Pijnenburg,"17,284,000 EUR"
Alphatron Electronic Parts B.V.,Kelvinring 52  2952 BG Alblasserdam ,+31 786920999,+31 786920990,sales@aepint.nl,http://www.aepint.nl,Mr. T.M. Slingerland,"11,084,615 EUR"
Alphatron Electronic Parts Beheer BV,Schaardijk 23  3063 NH Rotterdam ,+31 104534000,+31 104534010,sales@aepint.nl,http://www.alphatron.nl,Mr. T.M. Slingerland,"10,721,000 EUR"
Alphatron Marine B.V.,Schaardijk 23  3063 NH Rotterdam ,+31 104534000,+31 104534010,info@alphatron.nl,http://www.alphatron.nl,Mr. P. Sariri,"20,000,000 EUR"
Alphatron Marine BV,Schaardijk 23  3063 NH Rotterdam ,+31 104534000,+31 104521270,,http://www.alphatron.nl,Mr. T.M. Slingerland,"48,887,957 EUR"
Alphatronics BV,Watergoorweg 71  3861 MA Nijkerk ,+31 332459944,+31 332453149,info@alphatronics.nl,http://www.alphatronics.nl,Mr. M. Duijzer,"1,100,178,000 EUR"
Alpheios BV,In de Cramer 8 A  6411 RS Heerlen ,+31 455738888,+31 455743524,info@alpheios.nl,http://www.alpheios.nl,Mr. R.H.W. van Wersch,"788,019,000 EUR"
Alrec Instore Communication Group BV,Ondernemingsweg 11  3641 RZ Mijdrecht ,+31 297291000,+31 297288167,info@alrec.nl,http://www.alrec.nl,Mr. M. Stork,"31,509,363 EUR"
Also Nederland BV,Archimedesbaan 26  3439 ME Nieuwegein ,+31 306084700,+31 306081252,info@actebis.nl,http://www.actebis.nl,Mr. J. Verouden,"114,742,471 EUR"
Alsta BV,Glashorst 128  3925 BV Scherpenzeel ,+31 332776100,+31 332773003,info@alsta.nl,http://www.alsta.nl,Mr. J.A. van Elsen,"106,573,000 EUR"
Alstom Power Nederland BV,Koopmansstraat 7  2288 BC Rijswijk ,+31 703196250,+31 703196269,m.vlot@etconnect.com,http://www.etconnect.com,Mr. L.E. Linders,"123,632,000 EUR"
Altimate Netherlands BV,Waanderweg 22  7812 HZ Emmen ,+31 591855855,+31 591855800,info@altimate.nl,http://www.altimate-group.com,Mr. R.R. Feijen,"11,418,804 EUR"
Aluminium Delfzijl BV,Oosterhorn 20 -22  9936 HD Farmsum ,+31 596638555,+31 596638446,info@aldel.nl,http://www.aldel.nl,Mr. K. Pronk,"179,159,000 EUR"
Aluminium Donk BV,1e Industrieweg 5  3411 MG Lopik ,+31 348447798,+31 348551670,info@aluminiumdonk.com,http://www.donk-industries.com,Mr. E.J. Donk,"7,867,380 EUR"
Amari Metals BV,Tuinschouw 6  4131 MD Vianen ,+31 881189400,+31 306048975,sales@amarimetals.nl,http://www.amarimetals.nl,Mr. R. van Kampen,"78,361,853 EUR"
Ambrosius Transporten BV,Industrieweg 41  7903 AJ Hoogeveen ,+31 528280980,+31 528277372,info@ambrosius.nl,http://www.ambrosius.nl,Mr. M.J.H. Lumer,"11,000,000 EUR"
Ambtman jr. Import Export BV,Oosteinde 15  2991 LG Barendrecht ,+31 180691444,+31 180691449,leo.ambtman@ambtman.nl,http://www.ambtman.nl,  ,"7,000,000 EUR"
Amels BV,Koningsweg 2  4381 NA Vlissingen ,+31 118485002,+31 118485004,info@amels-holland.com,http://www.amels-holland.com,Mr. R. Luijendijk,"135,567,000 EUR"
Ammeraal Beltech BV,Foxtrot 12  1704 EH Heerhugowaard ,+31 725751212,+31 725743364,infonl@ammeraalbeltech.com,http://www.ammeraalbeltech.nl,Mr. J.P.G. van der Linden,"582,000,000 EUR"
Ammeraal Beltech Manufacturing BV,Marconistraat 15  1704 RH Heerhugowaard ,+31 725751212,+31 725716455,info@abmanufacturing.nl,http://www.ammeraalbeltech.com,Mr. I. Spaargaren,"582,000,000 EUR"
Ammertech BV,Achterdijk 15  5705 CB Helmond ,+31 492594300,+31 492594349,info@ammertech.nl,http://www.ammertech.nl,Mr. J.M.G. van den Hurk,"7,000,000 EUR"
Amnitec BV,Abraham van Stolkweg 118  3041 JA Rotterdam ,+31 102982121,+31 102982128,info@amnitec.nl,http://www.amnitec.nl,Mr. J.M. Tomlinson,"5,900,000 EUR"
Amorim Benelux BV,Slabbecoornweg 27  4691 RZ Tholen ,+31 166604111,+31 166604448,info.ar.nl@amorim.com,http://www.wicanders.com,Mr. R. de Wild,"22,082,384 EUR"
Amsterdam Metallized Products BV,Paul van Vlissingenstr 12  1096 BK Amsterdam ,+31 204620500,+31 206927969,welcome@metallized.nl,http://www.metallized.nl,Mr. P. Honig,"23,618,261 EUR"
Amway Nederland Ltd.,Celsiusweg 18  5928 PR Venlo ,+31 202035382,+31 202035383,info-nl@amway.com,http://www.amway.nl,Mr. H.A.M. van Bremen,"6,000,000 EUR"
Anamet Europe BV,Transformatorweg 30  1014 AK Amsterdam ,+31 205863586,+31 206881126,verkoop@anamet.nl,http://www.anamet.nl,Mr. A.N. van Zanten,"9,000,000 EUR"
Ancoferwaldram Steelplates BV,Damweg 12  4905 BS Oosterhout ,+31 162491500,+31 162429806,info@aws.dillinger.biz,http://www.ancoferwaldram.nl,Mr. J.F. van Dijk,"92,048,041 EUR"
Andrews Sykes BV,Hoefweg 151 -155  2665 CD Bleiswijk ,+31 630182892,+31 105215719,info@andrewssykes.nl,http://www.andrewssykes.nl,Mr. R.P. Kol,"8,489,902 EUR"
Andritz Feed & Biofuel BV,Spaarpot 112  5667 KZ Geldrop ,+31 402627777,+31 402627751,,http://www.andritz.com,Mr. C.W.A.M. van den Hoven,"35,009,000 EUR"
Andritz Thermtec BV,Wijnhaven 76  3011 WT Rotterdam ,+31 102801660,+31 104047356,mailbox@thermtec.nl,http://www.andritz.com,Mr. R. Verkaart,"11,562,494 EUR"
Animo - Animo BV,Dr. A.F. Philipsweg 47  9403 AD Assen ,+31 592376376,+31 592341751,info@animo.nl,http://www.animo.eu,Mr. R.W. Schortinghuis,"15,123,436 EUR"
Animo B.V.,Dr. A.F. Philipsweg 47  9403 AD Assen ,+31 592376376,+31 592341751,info@animo.nl,http://www.animo.nl,Mr. W.A. Middel,"15,123,436 EUR"
Anker Coal Company BV,K.P. van der Mandelelaan 130  3062 MB Rotterdam ,+31 104987200,+31 104114300,info@ankercoal.nl,http://www.ankercoal.nl,Mr. K.J. de Clercq Zubli,"117,385,547 EUR"
Ankerslot BV,Marssteden 15  7547 TE Enschede ,+31 534284949,+31 534284959,info@ankerslot.nl,http://www.ankerslot.nl,Mr. M. van der Wal,"6,000,000 EUR"
Ankersmit Maalbedrijven BV,Op de Bos 300  6223 EP Maastricht ,+31 433663636,+31 433647579,ap.finance.mineralsplus@sibelco.com,http://www.ankerpoort.com,Mr. L. Kirkels,"137,683,000 EUR"
Ankor Mennema Groep BV,Ecofactorij 20  7325 WC Apeldoorn ,+31 558447000,+31 180751690,info@am-groep.com,http://www.am-groep.com,Mr. H. Vrisekoop,"30,669,000 EUR"
Antonius Vessel Heads BV,S. Houbenweg 1  6051 AL Maasbracht ,+31 475439000,+31 475439001,antonius@antonius.nl,http://www.crec-antonius.com,Mr. P.E.J. Smeets,"14,560,000 EUR"
Aopen Computer BV,"Ploegweg 5  5232 BR Hertogenbosch,'s- ",+31 736466400,+31 736466401,finance@aopen.com,http://www.aopen.com,Mr. J. Hua,"13,973,142 EUR"
Apineon Naarden B.V.,Amsterdamsestraatweg 45  1411 AX Naarden ,+31 356944256,+31 356949714,info@api-neon.com,http://www.api-neon.com,Mr. W.R.G.M. van den Berg,"68,000,000 EUR"
APL (Netherlands),Stationsstraat 57  3161 GH Rhoon ,+31 105063400,+31 105061200,apl_netherlands@apl.com,http://www.apl.com,Mr. P. Jongepier,"58,764,334 EUR"
APM Terminals Rotterdam BV,Coloradoweg 50 HAVENNR-82  3199 LA Maasvlakte ,+31 181372222,+31 181372414,cenapmtsec@apmterminals.com,http://www.apmterminals.com,Mr. P.C. Hartog,"141,784,000 EUR"
Apothecon BV,Dieselweg 25  3752 LB Bunschoten-Spakenburg ,+31 332997080,+31 332997085,info@mylan.nl,http://www.apothecon.nl,Mr. T. Berendsen,"15,351,986 EUR"
Apparatenfabriek Warmtebouw BV,Paasheuvelweg 42  1105 BJ Amsterdam Z.O. ,+31 205659400,+31 206971523,info@awb.nl,http://www.awb.nl,Mr. M. Hicking,"27,928,000 EUR"
Apple Netherlands B.V.,Kosterijland 42  3981 AJ Bunnik ,+31 306593900,+31 306593850,,http://www.apple.com(nl),Mr. E. Westland,"18,149,520 EUR"
Applied Materials Europe B.V.,Spicalaan 57  2132 JG Hoofddorp ,+31 235656111,+31 235656199,office_administration@amat.com,http://www.appliedmaterials.com,  ,"252,285,000 EUR"
Applied Micro Electronics Ame B.V.,Esp 100  5633 AA Eindhoven ,+31 402646400,+31 402646419,info@ame.nu,http://www.ame.nu,Mr. M.F. van Sloun,"6,525,000 EUR"
Applikon Biotechnology BV,Nieuwpoortweg 12  3125 AP Schiedam ,+31 102083555,+31 104379648,verkoop@applikon-biotechnology.com,http://www.applikon.com,Mr. A. Oudshoorn,"25,615,810 EUR"
Aps BV,Konijnenberg 51  4825 BC Breda ,+31 765725000,+31 765874002,info@aps-bv.nl,http://www.aps-bv.nl,Mr. P.M.M. van Loenhout,"13,700,000 EUR"
Aqualectra BV,Flemingstraat 48  1704 SL Heerhugowaard ,+31 725761800,+31 725766963,info@aqualectra.nl,http://www.aqualectra.nl,Mr. T.J.G. Stringer,"10,436,945 EUR"
Aquanaut Yachting Holland BV,Selfhelpweg 9  8607 AB Sneek ,+31 515412253,+31 515416655,sales@aquanaut.nl,http://www.aquanaut.nl,Mr. M. Bakker,"8,000,000 EUR"
Aquatec Industries BV,De Zwaan 28  8551 RK Woudsend ,+31 514596270,+31 514596279,info@antarisboats.com,http://www.antarisboats.com,Mr. K. Schiphof,"15,107,736 EUR"
Aramco Overseas Company BV,"Scheveningseweg 62 -66  2517 KX Gravenhage,'s- ",+31 882622000,+31 715160610,,http://www.aramcooverseas.com,Mr. N.K.A. al Dabal,"3,699,285,150 EUR"
Aras Security BV,Thomas Edisonweg 5  5151 DH Drunen ,+31 416320042,+31 416379500,info@aras.nl,http://www.aras.nl,Mr. R. Faber,"5,637,820 EUR"
Arburg BV,Krommewetering 81  3543 AM Utrecht ,+31 302426060,+31 302426070,netherlands@arburg.com,http://www.arburg.com,Mrs. J.S. Hehl,"6,799,712 EUR"
Arcus Nederland BV,Nijverheidstraat 4  3316 AP Dordrecht ,+31 786483648,+31 786310099,info@arcus.nl,http://www.arcus.nl,Mr. R.C.W. van Paassen,"28,381,652 EUR"
Ardagh Aluminium Packaging Netherlands BV,Rozenstraat 19  3905 BM Veenendaal ,+31 318559800,+31 318559801,,http://www.boxal.com,Mr. D. Schwung,"71,793,677 EUR"
Ardo BV,Wernhoutseweg 26  4881 GB Zundert ,+31 765999999,+31 765999900,info@ardobv.nl,http://www.ardo.com,Mr. R.M. Teunissen,"60,471,000 EUR"
Ardo Food Ingredients BV,Industrieweg 9 -11  4881 EW Zundert ,+31 413373839,+31 413363803,sales@ploegmakersfood.com,http://www.ardo.com,Mr. R. Teunissen,"26,081,094 EUR"
Arend-Sosef BV,Stationsweg 23  2675 AM Honselersdijk ,+31 174630214,+31 174622656,info@arendsosef.nl,http://www.arendsosef.nl,Mr. B.N.A. Sosef,"75,753,034 EUR"
Arendsen Staalbouw BV,Riezenweg 9  7071 PV Ulft ,+31 315631300,+31 315632080,info@arendsen-ulft.nl,http://www.arendsen-ulft.nl,  ,"10,911,763 EUR"
Argolanda BV,Weena 693  3013 AM Rotterdam ,+31 102800000,+31 104045794,info@argolanda.nl,http://argolanda.nl,Mr. C.E.J. Granneman,"22,689,011 EUR"
Argos Bunkering BV,Waalhaven Z.z. 11  3089 JH Rotterdam ,+31 107892100,+31 107892101,info@northseagroup.com,http://www.northseagroup.com,Mr. P. Goedvolk,"1,844,935,000 EUR"
