COMPANY,FSC_CODE,COUNTRY,CONTINENT,ADDRESS,CONT_PER,TELEPHONE,FAX,EMAIL,WEBSITE,ISSUDATE,EXPDATE,PRODUCTS
Neuhofer Holz GmbH,GFA-COC-1106,Austria,Europe,Hascau 56 4893 Zell am Moos,Herr Neuhofer,+43 06234 85000,+43 06234 850034,office@fnprofice.com ,office@fnprofile.com,01.12.03,30.11.08,"Parquet floor edging, baseboard, mouldings"
Johann Burgstaller GmbH,GFA-COC-1125,Austria,Europe,Haid 33 4870 Vöckelamarkt,Mrs. Flasch,+43 (-7682) -6141,+43 (-7682) -6141-10,office@burgstaller-holz.at ,www.burgstaller-holz.at,02.12.03,01.12.08,"Rundholz, Schnittholz"
J.u.A. Frischeis GmbH,SCS-COC-00574,Austria,Europe,Gerbergasse 2 A-2000 Stockerau,Max Pokorny,-2828,-65123,Max.Pokorny@frischeis.at ,www.frischeis.at,03.09.03,02.09.08,
Doppler Schirme E. Würflingsdobler & Co. KG,GFA-COC-1133,Austria,Europe,Schloßstraße 24,Mr. Forthuber,+43-7722 63205,+43-7722 66918,herbert.forthuber@dopplerschirme.com ,,06.02.04,05.02.09,Umbrellas and garden furniture
E.F.P. Floor Products Fussboden GmbH,GFA-COC-10731,Austria,Europe,"Weiberndorf 20, 6380 St.Johann",Mr Ingo Schmelzer,+43 50 60010624,+43 50 60090624,ingo.schmelzer@egger.com ,,16.07.02,15.07.07,Laminated Flooring
Smorgon Forest Enterprise (COC),SA-COC-1303,Belarus,Europe,"Komsomolskaya Str. 19, Smorgon, Grodno Region, Republic of Belarus",Mr Alexander A Pahomov,375 (0)1592 2 10 58,375 (0)1592 2 16 10,,,24.10.03,23.10.08,"50x50cm roading timbers cut from turned cylindrical poles, sawn timber and palletwood, and planed boards."
Indufor nv,SGS-COC-0793,Belgium,Europe,Noorderlaan 125 B-2030 Antwerpen,Patricia Reynders,+ 32 3 542 6370,+ 32 3 542 1894,mail@indufor.com ,www.dlh-nordisk.com,20.09.01,20.09.06,"The purchase, storage and sales of certified timber products from sawn timber such as, Brazilian (Massaranduba, Jatobe, Ipe, AngelimPedra, etc.), Asian (Meranti White Seraya, etc.) and Decking (Anti-slip) products."
Intertrading N.V.,SCS-COC-00224,Belgium,Europe,"Nijverheidslaan 1558, 3660 Opglabbeek,",Torsten Reinecke,+ 32 89 8537 23,+ 32 89 8537 27,intertrading@pophost.eunet.be ,,01.01.01,01.01.06,Picture frames from solid wood and MDF profiles
Florin Fineerhandel nv,SGS-COC-0776,Belgium,Europe,Industrielaan 20 8520 Kuurne,Mr. Frank Florin,+ 32 56 351 634,+ 32 56 356 205,,,16.08.01,15.08.06,"The purchase, storage and sale of certified veneer"
Genk Hout N.V.,SKAL-COC-017939,Belgium,Europe,Gieterijstraat 92B-3600 Genk,Mr. R. Baeten,+ 32 89 848 444,+ 32 89 381 112,baeten.houtwyk@uunet.be ,,01.01.02,31.12.03,"Trade of sawn, planed and milled timber"
C.C.Bois S.A.,SKAL-COC-019826,Belgium,Europe,Buchenweg 30B-4700 Eupen,Mr. Matthias Boller,+ 32 87 596 840,+ 32 87 744 064,joerg.scherber@ccbois.be ,,01.01.04,01.01.07,Freshly cut timber
Ecom@cvba,SGS-COC-0829,Belgium,Europe,Ambachtzone Kwikaard 108 2980 St. Antonius Zoersel,Mr. Chris Poot,+ 32 3 384 1907,+ 32 3 385 0841,,,08.11.01,08.11.06,"The purchase, storage and sales of sawn timber products."
Saelens Trading BVBA,SKAL-COC-017998,Belgium,Europe,"Paardestraat 7, 9420 Erpe-Mere",Mr. Henri Saelens,+ 32 53 808 419,+ 32 53 807 641,saelens.trading@pandora.be ,,01.01.02,31.12.04,"Sawing timber, plywood-production, timber trade"
"Group van Hoorebeke (van Hoorebeke timber, van Hoorebeke panels)",SKAL-COC-014283,Belgium,Europe,"Kluizensesteenweg 1, B-9000 Gent,",Mr. L. Cromheecke,+32(0)9.2538661/+32(0)9.2544520,+32(0)9.2539816,laurent.cromheecke@vanhoorebeke.com ,www.vanhoorebeeke.com,01.08.01,31.12.04,sawn timber - plywood and timberproducts
NV Houtconstructies Wyckaert,SGS-COC-0854,Belgium,Europe,Biezeweg 6 B- 9230 Wetteren,Wim Meneve,+ 32 9 252 2600,+ 32 9 252 2837,,,05.12.01,05.12.06,The purchase and processing of certified plates and solid timbe . de aankoop en verwerking van gecertificeerde platen en massief hout
Quintelier Gebr. N.V.,SKAL-COC-020185,Belgium,Europe,Hoogveld 279200 Dendermonde,Mrs. M. Azarkan,+ 32 52 225 080,+ 32 52 225 261,quintelier.gebr.nv@cobonet.be ,,11.09.01,31.12.04,Sawn timber and timber products
"Solid NV, Industriepark",SGS-COC-0572,Belgium,Europe,Yzeren Bareel 8t B-8587 Spiere,Sofie Dierick,+ 32 56 461 616,+ 32 56 461 617,,,06.12.00,05.12.05,The purchase treating and sale of FSC timber fences covered by certificate number SGS-COC-0391 and SGS-COC-0417.
The Berry-group,SGS-COC-0331,Belgium,Europe,"Industrielaan 100, 8930 Menen",Leo Bevernage,+ 32 56 528 480,+ 32 56 528 490,,,06.10.99,05.10.04,Production and packaging of laminated wood fibreboards and particleboards
Vandecasteele Houtimport,SGS-COC-0285,Belgium,Europe,"Bergstraat 25, B-8511 Kortrijk",Geneviève Standaert,+ 32 56 433 333,+ 32 56 433 334,Genevieve@vandecasteele.be ,,21.06.99,21.06.09,The stock and sawing of timber products
Blankendale,SGS-COC-0231,Belgium,Europe,"Pastorijstraat 118, 3300 Tienen",Mr. Peter Swings,+ 32 16 820 290,+ 32 16 820 887,info@blankedale.be ,,16.02.99,17.02.09,"Purchase, storage, processing and sale of 100 % certified and percentage based certified timber products."
Lagae Hout nv.,SGS-COC-0229,Belgium,Europe,"Lagae Hout nv., Graaf Karel de goedelaan 32, B-8500 Kortrijk","Frau Rein Vanlishout, Frau Annelies De Groote",+ 32 56 2214 29,+ 32 56 2032 80,Rein.Vanlishout@lagae.be ,www.lagae.be,16.02.99,19.02.09,Timber products (manufacturer and trader)
PDC Brush nv.,SGS-COC-0207,Belgium,Europe,Lodewijk de Raetlaan 28 8870 Izegem,Pascal Stael,+32 (0)51 312602,+32 (0)51 312842,info@pdcbrush.be ,,18.12.98,18.12.08,"Brushes, brooms and handles."
Decospan nv,SGS-COC-0481,Belgium,Europe,Amend the spelling in address: Langeweg to be Lageweg.,Mr. Mieke Desmet,+ 32 56 528 800,+ 32 56 528 803,decospan@decospan.be ,www.decospan.com,10.07.00,10.07.05,"veneer panels, veneer flooring and flexible veneer"
Bilterijst N.V,SKAL-COC-008541,Belgium,Europe,"Hundelgemsesteenweg 297, B-9050 Gentbrugge",Mr. Louage Sr,+ 32 9 230 7154,+ 32 9 230 2665,info@bilterijst.be ,www.bilterijst.be,01.01.01,31.12.04,Timber products
Houthandel Martens n.v.,SGS-COC-0166,Belgium,Europe,"Hoogmolendijk 4, 2900 Schoten",Mr. E. Martens,+ 32 36 581 484,+ 32 36 585 959,,,25.09.98,08.02.09,Timber products
Lemahieu nv,SGS-COC-0909,Belgium,Europe,Zuiddokweg 44 9000 Gent,Mr. Mike Lemahieu,+ 32 9 255 5888,+ 32 9 251 4093,,,22.01.02,22.01.07,All kinds of timber .
N.V. Houtinvoer van Regemortel S.A.,SKAL-COC-018740,Belgium,Europe,Bosdreef 121 AB-2950 Kapellen,Michel Hertogh,+ 32 3 605 1040,+ 32 3 605 4986,,,22.02.01,31.12.04,The only activities within the certification are timber trade transactions.
Etabl. Stevens & C° S.A,SGS-COC-0453,Belgium,Europe,Italielei 135 BUS 1,De Heer Jan Stevens,+ 32 3 231 9650,+ 32 3 234 2246,,,02.06.00,02.06.05,Specialised in trade and sorting of Pine timber.
N.V. Hoebeek,GFA-COC-1113,Belgium,Europe,Baeckelmanstraat 131 2830 Willebroek,Rudi Hoebeek,+32 038869801,+32 038868568,hoebbeek@hoebeek.be ,www.hoebeek.be,25.09.03,24.09.08,"Panelling (cladding), floor boards, boards, parquet, planed profiles, frames, construction timber, doors"
Fortim Trading nv,SGS-COC-1378,Belgium,Europe,Te Boelaerlei 29 B-2140 Borgerhout,Dirk De Bussche,03.314.98.94,03.314.97.40,,,05.05.03,04.05.08,All kinds of products
Europapier,SGS-COC-1748,Belgium,Europe,Winninglaan 3 9140 Temse,MR Patrick Sandrap,+32 (0)3 710 82 98,+32 (0)3 711 07 83,patrick.sandrap@europapier.be ,,02.06.04,01.06.09,"No production applicable, only sales"
"BVBA Thienpondt & C° (Imexbois, Transimex)",SGS-COC-1700,Belgium,Europe,Joseph II straat 48-B1 8400 Ostende Belgique,+32 (0)59519957,+32 (0)59519958,imexbois@unicall.be ,,,06.04.04,05.04.09,"European wood species, mainly Beech (Fagus sylvatica), Ash (Fraxinus sp), Maple (Acer sp), Oak (Querqus sp), Poplar (Populus sp)"
De & D Consulting – Group Certification,SGS-COC-1699,Belgium,Europe,Runkstersteenweg 98 3500 Hasselt,Lut Draye,+32 (0)495631156,+32 (0)11743782,lut.draye@pandora.be ,,06.04.04,05.04.09,
Qualibouw vzw Group Manager,GFA-COC-2136,Belgium,Europe,"Hazelarenlaan 10, 3500 Hasselt, Belgium",Mrs. Karina Ramaekers,+32 011 24 77 50,+32 011 24 77 55,info@qualibouw.be ,,22.03.04,21.03.09,Sawn timber
Reynders Bouw en Interieur nv,SGS-COC-1591,Belgium,Europe,Centrum Zuid 2049,Mr. Yvo Brockmans,+32 (0)11605656,+32 (0)11605655,,,19.12.03,18.12.08,Varies
Wolters NV,SGS-COC-1559,Belgium,Europe,Nijverheidslaan 43-45 3290 Diest,Geert Wolters,+32 (0)13350610,+32 (0)13326120,info@wolters.be ,,11.11.03,10.11.03,Not limited
Potteau Labo,SGS-COC-1108,Belgium,Europe,Zuidstraat 24-32 B-8501 Kortrijk,De Heer Luc Clinckemaillie,056.36.33.33,056.35.78.06,,,01.10.02,30.09.07,"The production of door elements with at least 70 % FSC, the production of frames and sanitary – equipment with 100% FSC, the finish of production of FSC parket. De produktie van binnenkasten voor deuren met min. 70 % FSC, de produktie van kaders en tablet-ondersteuningen, en de afwerking van FSC parket , met 100 % FSC ; La production de parties de portes avec au moins de 70 % FSC , la production de cadres et d'accessoires sanitaire et la finition de production de parquet , avec 100 % FSC"
Agglo nv,SGS-COC-0874,Belgium,Europe,"Eikelaarsstraat 33 , 3600 Genk",Mr. Bert Wierbos,+ 32 89 500 300,+ 32 89 362 971,,,21.12.01,20.12.06,"The production of OSB boards covered by certificate Skal-CoC-019329 , containing not less then 30 % FSC-timber"
S.A. BOMACO N.V.,GFA-COC-1116,Belgium,Europe,I.Z. Doornveld 1731 Zellik,Paul De Wagheneire,+32 02 466 0305,+32 02 4669558,info@Bomaco.be ,,06.11.03,05.11.08,"Sawn timber, MDF and OSB with at least 30% FSC"
Willy Carpentier Houtindustrie nv,GFA-COC-1164,Belgium,Europe,"Abeeldreef 15, BE-8760 Meulebeke",Mr. Willy Carpentier,+32 51 48 89 61,+32 51 48 89 65,lumber@willy.carpentier.be ,www.willy carpentier.be,15.09.04,14.09.09,Sawn timber
M. Hendrickx & Co.,GFA-COC-1111,Belgium,Europe,Molenstr 41 2811 Leest (Mechelen),Willem Hendrickx,+32 15272737,+32 15277941,hendrixhout@online.be ,,09.10.03,08.10.08,
De & D Consult bvba,SCS-COC-00652,Belgium,Europe,Runkstersteenweg 98 B 3500 Hasselt,Lut Draye,+32-(0) 495 631156,+32-(0) 743782,lut.draye@groepsmanager-fsc.nl ,www.groepsmanager-fsc.nl,15.10.04,14.10.09,"Group of Manufacturers of windows and other wooden materials for use in construction, maintenance and renovation projects. Either 100% or a minimum percentage (as stated on on-product labels, invoices, and product descriptions) of the wood used in making these product lines is FSC-certified."
Betim N.V.,SGS-COC-1510,Belgium,Europe,Schapenbaan 20 B-1731 Relegem-Asse,Mr Alex Vinck,+32 (0)4600200,+32 (0)4601108,,,17.09.03,16.09.08,"All kinds of wood products, species"
Ecobos P&E bvba,SGS-COC-1509,Belgium,Europe,Impulsstraat 7a B-2220 Heist op den Berg Belgium,Mr Geert De Smet,+32 (0)15/758738,+32 (0)15/758739,Info@ecobos.com ,,17.09.03,16.09.08,All kinds of products
Servaege NV,SGS-COC-1496,Belgium,Europe,Politieke Gevangenstraat 36 8530 Harelbeke,Alain Servaege,+32 (0)56222227,+32 (0)56227693,info@servaege.be ,,03.09.03,02.09.08,
Kompan Omniplay NV,SCS-COC-025256,Belgium,Europe,Groendreef 83b; Aalter 9880,Mrs. Martine Vanquathem,0032 (0)9 216 6662,0032 (0) 9 227 0021,marvan@kompan.com ,,23.05.03,31.12.03,Playground equipment
CDM nv Group of Companies (CDM nv and KBT nv),SW-COC-976,Belgium,Europe,"Hemelrijken 8 Sint-Amands, B-2890",Mr. Gerrit Suy,32 52 39 99 10,32 52 39 99 19,info@cdmbelgium.com ,www.cdmbelgium.com,01.07.03,31.07.08,"Playground equipment semi-elaborated timber accessories-trapezes, seats 1"
Ahlstrom Malmedy SA,SCS-COC-00519,Belgium,Europe,Ahlstrom Malmedy SA Av. Du Pont de Warche B-4960 Malmedy,Paulette Thunus,32 0 80 795 414,32 0 80 795 416,www.ahlstrom.fi,,05.01.03,05.01.08,Non Woven Paper. At least 70% of the fibre used in the manufacturing process of this paper comes from FSC-certified forests
Steelplus bvba,SGS-COC-1465,Belgium,Europe,Jacobslaan 103 B-2980 Zoersel Belgium,Steven De Kinderen,32 (0)3 4641063,32 (0)3 4641083,sdk@planetinternet.be ,,06.08.03,05.08.08,
N.V. TERRYN HOUT,GFA-COC-1129,Belgium,Europe,"Nieuwstraat 8, BE-8890 Moorslede",Mr. Terryn Geert,+32-051-78 03 56,+32-051-77 17 43,info@terrynhout.be ,,18.12.03,17.12.08,"sawn timber, window elements"
Frans Trap & Zoon,SGS-COC-1367,Belgium,Europe,Guldendal 21 B-2800 Mechelen,Marc Trap,015.41.99.64,015.43.06.87,,,17.04.03,17.04.08,
Ecobouw cvba,SGS-COC-1375,Belgium,Europe,Industriezone A Nieuwland 4C 3200 Aarschot,Luc Van der Auwera,016.49.82.82,16.465765,,,04.04.03,03.04.08,Sawn redwood and pine wood
Lannaux,SGS-COC-1374,Belgium,Europe,Sparrendreef 18 1910 Kampenhout,G. Lannaux,016.65.57.49,016.65.14.87,,,05.05.03,04.05.08,Timber logs
GRAVY BOIS,SGS-COC-0589,Belgium,Europe,"Chausee Romaine 171, B-7160 Chapelle-Lez-Herlaimont",Michael Chanut,+ 32 61 016 113,+ 32 61 016 114,,,22.12.00,21.12.05,"The purchase, stock and sale of certified timber"
Willy Carpentier Houtindustrie nv,SGS-COC-0223,Belgium,Europe,"nv 8760 Meulebeke, Belgium",Heidi Carpentier,++ 32 51.48.89.61,++ 32 51.48.89.65,,,09.02.99,09.02.04,"Dried, and sawn timber - hardwood"
Timbrian Europe NV,SCS-COC-00399,Belgium,Europe,Dorpsplaats 29 2390 Malle,Mr. Sebastiaan C.M. Smit,+ 32 3 309 9042,+32 3 309 9043,timbrian@timbrian.com; bastiaan.smit@timbrian.com ,,31.01.02,31.01.07,"Back-to-back brokering of sawnwood, mouldings, parquet."
Houthandel Wuyts nv,SGS-COC-0903,Belgium,Europe,Diestsestwg 708 3010 Kessel lo,Mr. Wuyts,+ 32 16 225 198,+ 32 16 206 024,,,17.01.02,17.01.07,All kind of products
Schilfineer Wijns nv,SGS-COC-0917,Belgium,Europe,Oude Mechelsebaan 150 B-3200 Aarschot,Filip Agneessens,+ 32 16 567 080,+ 32 16 564 208,,,28.01.02,28.01.07,Veneer and multiplex boards
Unalit nv,SGS-COC-0683,Belgium,Europe,Gaverstraat 35 9500 B-Geraardsbergen,Danny Van der Schueren,+ 32 54 411 791,+ 32 54 419 376,,,25.05.01,25.05.06,soft boards
Fabribois SA,SGS-COC-0971,Belgium,Europe,"Rue de Botrangge 44, 4898 Sourbrodt",Mr. Philippe Justin,+ 32 80 446 305,+ 32 80 44 63 05,,,14.03.02,14.03.07,all kind of furniture products
Houthandel vercruysee,SGS-COC-0976,Belgium,Europe,Zevenkavenstraat 29 8560 Gullegem,Mr. Dan vercruysse,+ 32 56 412 064,+ 32 80 404 221,,,21.03.02,21.03.07,all kind of products
Duratex Europe S.A.,SCS-COC-00409,Belgium,Europe,Business Park E 19 Battelsesteenweg 455D B-2800 Mechelen,Mr. Walter Brokken,+ 32 15 286 070,+ 32 15 286 079,walter.brokken@duratex-europe.be ,,12.03.02,12.03.07,wood based fibreboard panels
Eurabo nv,SGS-COC-1008,Belgium,Europe,Beekstraat 36 9600 Ronse,Mr. Peter Suys,+ 32 55 218 425,+ 32 55 218 425,,,18.04.02,18.04.07,Certified finished product
Unilin Decor,SGS-COC-1064,Belgium,Europe,"Ooigemstraat 3, B-8710 Wielsbek",Mr. Peter Hochepied,+ 32 56 67 52 11,+ 32 56 67 5212,,,30.05.02,30.05.07,all kind of products
Spanolux nv,SGS-COC-0330,Belgium,Europe,ZI de Burtonville B-6690 Vielsalm,Geoffroy Colyn,+32 (0)80292710,+32 (0)80292711,geoffroy.colyn@spanolux.be ,,06.10.99,06.10.09,"Fiber board (MDF and HDF), containing not less than 70% of FSC certified material"
Eran nv,SGS-COC-1221,Belgium,Europe,Zonnestraat 478 B- 9600 Ronse,Erik Vlieghe,055.21.82.13,055.20.71.62,,,05.12.02,04.12.07,All kind of products
Distri Hout,SKAL-COC-022058,Belgium,Europe,Hekkestraat 209308 Hofstade,H.P. Verbeek,-53825672,-75629416,erik@distrihout.be ,,14.08.02,31.12.04,Sawn timber Boards Assembly kit furniture Laminate & parquet
Vogel nv,SGS-COC-1137,Belgium,Europe,Godefriduskaai 28 B-2000 Antwerpen,Mr. Dirk Debussche,+03 222 9287,+03 227 3443,,,25.10.02,25.10.07,trading of FSC timber products (all kind of products)
Coblo nv,SGS-COC-1168,Belgium,Europe,Puttestraat 9Industriepark HolvenB-2490 Balen,Mr. Filip Agneessens,32 16 567 080,32 16 564 208,,,25.10.02,24.10.07,production of multiplex boards
Mekano nv,SGS-COC-1131,Belgium,Europe,Kaullilerweg 111 B-3990 Peer,Mr. Johan Vanhaverbeke,32 11 63 3467,32 11 63 5062,,,25.10.02,25.10.07,"the producction of playgrounds, containing not less than 70% FSC timber"
Woodimex nv,SGS-COC-1224,Belgium,Europe,Arkemolenstr 33 B-8890 Dadizele,Mr. Dirk De Hulsters,32 56 50 35 61,32 56 50 38 29,,,22.11.02,22.11.07,"the purchase, storage and sales of FSC timber products"
Erica Investments nv,SGS-COC-1223,Belgium,Europe,Liersestwg 203 B-2220 Heist op den Berg,Mr. Stéphane Seutin,32 15 24 47 80,32 15 24 24 26,,,22.11.02,22.11.07,"the purchase, storage ans sales of FSC hardwood parquet and floor profiled skirting"
NV De Clercq-Bourdeaud'hui,SGS-COC-1255,Belgium,Europe,Meerbeekstraat 40 9660 BRAKEL,Mrs Isabel De Clercq,+ 055 42 2740,+ 055 42 6940,,,27.12.02,27.12.07,harvesting and supply of FSC timber logs
Houthandel Denis Luyten nv,SGS-COC-1250,Belgium,Europe,"Molenstraat 52, B-2200 Herentals",Mr. Fons Luyten,+ 32 14 26 3631,+ 32 14 26 3632,,,09.12.02,09.12.07,"sawing, planing and impregnating of FSC timber products"
Haripan bvba,SGS-COC-1318,Belgium,Europe,"Bossenstraat 12, B-8710 Wielsbeke",Mr. Yvan Bauwens,32 56 66 4120,32 56 66 5770,,,07.02.03,07.02.08,"purchase of logs and veneer, the manufacturing of veneer and plywood products and the sales of plywood products containing at least 70% FSC certified material."
G. Desnet nv,SGS-COC-1264,Belgium,Europe,"Veldstraat 7, B-8930 Menen",Mr. Tony Huysentruyt,+ 32 56 52 1770,+ 32 56 51 7971,,,08.01.03,08.01.08,"the purchase of logs and sawn timber, the manufacturing and sales of multiplex boards, bended multiplex products and bended solid wood products with at least 70% FSC certified material"
De Coene Products nv,SGS-COC-1227,Belgium,Europe,Europalaan 135 B-8650 Gullegem,Mr. Peggy Clerick,+ 32 56 43 1080,+ 32 56 43 1092,,,05.12.02,05.12.07,Veneering of certified boards with at least 70% FSC
Ecostructuur bvba,SGS-COC-1074,Belgium,Europe,Testeltsesteenweg 68 3201 Langdorp,Mr. Jos Vrancken,+32 (0)16 56 92 45,+32 (0)16 56 92 45,ecostructuur@pandora.be ,,25.06.02,25.06.07,The purchase and placing of FSC infra-structural elements .All kind of products
Hemus JSC,SW-COC-1315,Bulgaria,Europe,"Gross Bulgaria Ltd. , 3 floor 21, Moskovska Street Sofia, 1000",Mr. Roumen Anev,+359 2 981 6778,+359 2 981 7564,gross@ibn.bg ,,22.09.04,21.09.09,Chairs
